date,Time precision,country,Country ISO,Latitude,Longitude,Geo precision,Admin 1,Location where sexual violence was committed,Event Description,Reported Perpetrator,Perpetrator Group Name,Single and group perpetrators ,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of reported victims,Reported deaths following the sexual violence,SiND Event ID
#date +occurred,,#country,#country_ISO,#geo +lac,#geo +lon,,#adm1,#loc,,#group +perp,#group +perp +name,,#weapons,,#sex,,,,,,,
17/02/2020,Exact Date,DRC,COD,-3.411983055,29.13024973,"(3)District, Communicipality or Commune ",South Kivu,No information ,"February 2020: In South Kivu province, a local NGO reported an incident of sexual violence against an unspecified person. ",No Information,Unidentified armed actor,No information,Firearms,Civilian ,ProbablyFemale,"Unspecified, ",UnspecifiedActSV,SV of beneficiaries,Unspecified SV ,1,,25263
18/02/2020,Exact Date,DRC,COD,-3.346179694,29.18792937,"(3)District, Communicipality or Commune ",South Kivu,"Street, road or field "," February 2020: In South Kivu province, a woman was raped by a group of four people who were armed and speaking a dialect from Burundi. ",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,25272
17/02/2020,Close -The exact date is within 2-6 days of the indicated date,South Sudan,SSD,4.112674713,32.3034647,"(3)District, Communicipality or Commune ",Eastern Equatoria,"Street, road or field ","February 2020:In Eastern Equatoria state, four men in military uniforms beat and raped a 38-year old as she gathered firewood. ",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,25273
05/02/2020,Exact Date,Sudan,SDN,12.96887356,22.65415153,"(4)Province, State, Governorate ",West Darfur State,"Street, road or field ","February 2020: In West Darfur state, a 13-year-old girl was raped by a herder while she was looking after her familyâ€™s goats. ",NSA,Unidentified armed actor,Single perpetrator,No information on weapons,Civilian ,Female,"Minor, ",Rape,CRSV,Single rape/sv assault ,1,,25275
07/02/2020,Exact Date,Sudan,SDN,12.50518538,24.29488064,(2)25 km precision ,South Darfur State,Refugee IDP settlement ,"February 2020: In Kass IDP camp, South Darfur state, four armed men on camels gang-raped a primary school student as she was gathering firewood. Her three brothers were also bound and beaten.",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Gang SV assault,1,,25288
09/02/2020,Close -The exact date is within 2-6 days of the indicated date,Sudan,SDN,13.4390451,22.44964495,(2)25 km precision ,West Darfur State,Refugee IDP settlement ,"February 2020: In West Darfur state, three girls aged between 14 and 17 were raped inside the camp by unidentified perpetrators(s). ",No Information,Unidentified armed actor,No information,No information on weapons,Civilian ,Female,"Minor, ",Rape,SV of beneficiaries,No information,3,,25289
20/02/2020,Exact Date,Sudan,SDN,12.96285108,24.04268247,(2)25 km precision ,Central Darfur,"Street, road or field ","February 2020: In Central Darfur state, a member of the paramilitary Border Guards raped and beat an 8-year old when she was grazing cows. A local search group captured the offender and handed him to the police",NSAG,Paramilitary Border Guards (Sudan),Single perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Single rape/sv assault ,1,,25290
05/03/2020,Exact Date,Nigeria,NGA,7.714620745,8.950105047,"(3)District, Communicipality or Commune ",Benue,Victims home ,"March 2020: In Benue state, suspected Fulani militia attacked the head of the villageâ€™s house, raped his wife and two of his in-laws, and destroyed crops stored in a barn",Other,Fulani herdsmen,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,3,,25355
25/03/2020,Exact Date,South Sudan,SSD,4.090530093,30.67689645,"(3)District, Communicipality or Commune ",Central Equatoria,Victims home ,"March 2020: In Central Equatoria state, the National Salvation Front (NAS) accused five South Sudanese soldiers of raping a woman and her 11-year-old daughter during an attempt to arrest her husband, who was not present. ",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Minor, Adult, ",Rape,SV by security personnel,Mass SV assault,2,,25370
09/03/2020,Exact Date,Sudan,SDN,12.33642518,23.0427477,"(3)District, Communicipality or Commune ",Central Darfur,No information ,"March 2020: In Central Darfur state, seven armed militiamen - five on horseback and two on motorcycles - shot and gang raped a 17-year-old female IDP.",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Gang SV assault,1,,25374
20/04/2020,Exact Date,DRC,COD,0.462536556,29.4721127,"(3)District, Communicipality or Commune ",North Kivu,"Street, road or field ","April 2020: In North Kivu province, two suspected FARDC soldiers raped a girl and shot and injured a woman in fields near the village.",State military,Forces ArmÃ©es de la RÃ©publique DÃ©mocratique du Congo,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Gang SV assault,1,,25465
03/04/2020,Exact Date,Nigeria,NGA,6.592537042,7.418630714,(1)Exact location,Enugu,No information ,"In April 2020 in Engu state, Fulani Militia sexually assaulted a woman. ",Other,Fulani herdsmen,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Gang SV assault,1,,25468
19/04/2020,Exact Date,South Sudan,SSD,6.031310707,29.9450645,(2)25 km precision ,Western Equatoria,"Street, road or field ","April 2020: In Mvolo county, Western Equatoria state, a young girl was raped by a group of pastoralists while she was collecting firewood near a riverbank.",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,CRSV,Gang SV assault,1,,25470
31/03/2020,Month- The event occurred within this month,South Sudan,SSD,4.081626392,30.68667806,"(3)District, Communicipality or Commune ",Central Equatoria,No information ,"Between March and April 2020: In Central Equatoria state, 19 women were gang-raped by men in military uniform carrying firearms.",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Minor, Adult, ",Rape,SV by security personnel,Mass SV assault,19,,25471
24/04/2020,Close -The exact date is within 2-6 days of the indicated date,South Sudan,SSD,4.75039803,31.57718215,(2)25 km precision ,Central Equatoria,Police station ,"April 2020: In Central Equatoria state, an unspecified number of women at a Police Training Centre reported that they had been raped by colleagues from the training centre. Large numbers of police trainees from different armed groups and government forces are being trained at the centre as per the peace agreement.",Police,South Sudan National Police Service,Group perpetrator,No information on weapons,Civilian ,Female,"Adult, ",Rape,SV by security personnel,Mass SV assault,2,,25490
30/04/2020,Exact Date,Sudan,SDN,13.0652095,25.23463328,(2)25 km precision ,North Darfur State,"Street, road or field ","April 2020: In North Darfur state, a 12-year-old girl was raped by unidentified gunmen who attacked her and two other female IDPs while they were gathering firewood.",NSA,Unidentified armed actor,Group perpetrator,Firearms,Civilian ,Female,"Minor, ","AttemptedSexualAssault, Rape",CRSV,Mass SV assault,3,,25501
